,Course Title,Course Name,Course Department,Instructor Full Name,UGrad,Grad,NonDegree,XReg,VUS,Employee,Withdraw,Year,Semester,Total
21,AFRIKAAN 101BR,Advanced Afrikaans II,African & African Amer Studies,"Mugane,John M",7,0,0,0,0,0,0,2020,Spring,7
22,AFRIKAAN AB,Elementary Afrikaans,African & African Amer Studies,"Mugane,John M",19,0,0,0,0,0,0,2020,Spring,19
23,AFRIKAAN BB,Intermediate Afrikaans,African & African Amer Studies,"Mugane,John M",13,0,0,0,0,0,0,2020,Spring,13
66,AKKAD 147,Wisdom Literature,Near Eastern Languages & Civ,"Machinist,Peter B",0,4,0,0,0,0,0,2020,Spring,4
67,AKKAD 157,Introduction to Old Assyrian,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,2,0,0,0,0,0,2020,Spring,2
68,AKKAD 159,Middle Babylonian,Near Eastern Languages & Civ,"Barjamovic,Gojko",0,5,0,0,0,0,0,2020,Spring,5
69,AKKAD AB,Introductory Akkadian II,Near Eastern Languages & Civ,"Barjamovic,Gojko",1,3,0,0,0,0,0,2020,Spring,4
70,AMHARIC 101BR,Advanced Amharic II,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2020,Spring,2
71,AMHARIC AB,Elementary Amharic,African & African Amer Studies,"Mugane,John M",3,1,0,1,0,0,0,2020,Spring,5
72,AMHARIC BB,Intermediate Amharic,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2020,Spring,2
205,ARABIC 130B,Upper-Level Classical Arabic 2,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",0,1,0,0,0,0,0,2020,Spring,1
206,ARABIC 131B,Upper-Level Modern Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",9,4,0,0,0,0,0,2020,Spring,13
207,ARABIC 131B,Upper-Level Modern Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",10,1,0,2,0,0,0,2020,Spring,13
208,ARABIC 241BR,Advanced Modern Arabic Bridge,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",2,5,0,1,0,0,0,2020,Spring,8
209,ARABIC 242BR,Mod Arabic Poetry,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",2,1,0,0,0,0,0,2020,Spring,3
210,ARABIC 243DR,Classical Arabic Bridge IV,Near Eastern Languages & Civ,"Nasser,Shady Hekmat",0,5,0,3,0,0,0,2020,Spring,8
211,ARABIC 249R,Arabic Philosophical Texts,Near Eastern Languages & Civ,"El-Rouayheb,Khaled",2,3,0,1,0,0,0,2020,Spring,6
212,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Korica Sullivan,Nevenka",11,0,0,0,0,0,0,2020,Spring,11
213,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",4,0,0,1,0,0,0,2020,Spring,5
214,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",11,3,0,0,0,0,0,2020,Spring,14
215,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Cozzens,Richard",9,0,0,1,0,0,0,2020,Spring,10
216,ARABIC AB,Elementary Arabic II,Near Eastern Languages & Civ,"Habib,Muhammad Ahmad",3,0,0,3,0,0,0,2020,Spring,6
217,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",4,4,1,1,0,0,0,2020,Spring,10
218,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",13,1,0,0,0,0,0,2020,Spring,14
219,ARABIC BB,Intermediate Arabic II,Near Eastern Languages & Civ,"Barmada,Nour",5,1,0,0,0,0,0,2020,Spring,6
220,ARMEN 164,Ghosts in Ethnic American Lit,Near Eastern Languages & Civ,"Gulesserian,Lisa Ann",2,1,0,0,0,0,0,2020,Spring,3
221,ARMEN AB,Elementary Modern Armenian II,Near Eastern Languages & Civ,"Gulesserian,Lisa Ann",3,2,0,0,0,0,0,2020,Spring,5
222,ARMEN BB,Int Modern Armenian II,Near Eastern Languages & Civ,"Gulesserian,Lisa Ann",1,0,0,0,0,0,0,2020,Spring,1
290,BCS AB,Elementary BCS II,Slavic Languages & Literatures,"Kuzmic,Tatiana",3,1,0,1,0,0,0,2020,Spring,5
291,BCS BB,Intermediate BCS II,Slavic Languages & Literatures,"Kuzmic,Tatiana",1,1,0,0,0,0,0,2020,Spring,2
292,BCS CR,Advanced BCS,Slavic Languages & Literatures,"Kuzmic,Tatiana",3,0,0,1,0,0,0,2020,Spring,4
375,CATALAN 11,Catalan Language and Culture,Romance Languages & Lit,"Aguirre-Oteiza,Daniel",2,1,0,0,0,0,0,2020,Spring,3
414,CHAGATAY A,Elementary Chaghatay,East Asian Langs & Civ,"Gulina,Aizezi",2,1,1,0,0,0,0,2020,Spring,4
488,CHNSE 106B,Intro to Literary Chinese,East Asian Langs & Civ,"Sena,David M",3,5,0,3,0,0,0,2020,Spring,11
489,CHNSE 107B,Intermediate Literary Chinese,East Asian Langs & Civ,"Sena,David M",0,5,1,0,0,0,0,2020,Spring,6
490,CHNSE 120B,Intermediate Modern Chinese,East Asian Langs & Civ,"Yang,Bin",11,2,0,1,0,0,0,2020,Spring,14
491,CHNSE 120B,Intermediate Modern Chinese,East Asian Langs & Civ,"Yang,Bin",18,0,0,1,0,0,0,2020,Spring,19
492,CHNSE 120B,Intermediate Modern Chinese,East Asian Langs & Civ,"Yang,Bin",8,0,0,2,1,0,0,2020,Spring,11
493,CHNSE 123XB,Intermed Mod Chinese - Adv Beg,East Asian Langs & Civ,"Ying,Jie",15,0,0,0,0,0,0,2020,Spring,15
494,CHNSE 123XB,Intermed Mod Chinese - Adv Beg,East Asian Langs & Civ,"Ying,Jie",15,0,0,0,0,1,0,2020,Spring,16
495,CHNSE 123XB,Intermed Mod Chinese - Adv Beg,East Asian Langs & Civ,"Ying,Jie",11,0,0,1,0,0,0,2020,Spring,12
496,CHNSE 130B,Pre-Advanced Modern Chinese,East Asian Langs & Civ,"Zhang,Mo",8,2,0,0,0,1,0,2020,Spring,11
497,CHNSE 130B,Pre-Advanced Modern Chinese,East Asian Langs & Civ,"Zhang,Mo",15,0,0,0,0,0,0,2020,Spring,15
498,CHNSE 130B,Pre-Advanced Modern Chinese,East Asian Langs & Civ,"Zhang,Mo",13,0,0,1,0,0,0,2020,Spring,14
499,CHNSE 130XB,Pre-Adv Mod Chin for High-Prof,East Asian Langs & Civ,"Shao,Xueyin",19,0,0,0,0,0,0,2020,Spring,19
500,CHNSE 130XB,Pre-Adv Mod Chin for High-Prof,East Asian Langs & Civ,"Shao,Xueyin",9,1,0,0,0,0,0,2020,Spring,10
501,CHNSE 140B,Advanced Modern Chinese,East Asian Langs & Civ,"Cai,Jing",8,2,0,0,0,0,0,2020,Spring,10
502,CHNSE 140B,Advanced Modern Chinese,East Asian Langs & Civ,"Cai,Jing",2,1,0,1,0,0,0,2020,Spring,4
503,CHNSE 140XB,Adv Mod Chin for High-Prof,East Asian Langs & Civ,"Zhao,Jie",3,0,0,0,0,0,0,2020,Spring,3
504,CHNSE 142B,Adv Conversational Chinese,East Asian Langs & Civ,"Zhao,Jie",8,0,0,1,0,0,0,2020,Spring,9
505,CHNSE 150B,Reads & Disc in Acad Prof Chin,East Asian Langs & Civ,"Wang,Dan",3,3,0,1,0,0,0,2020,Spring,7
506,CHNSE 163,Business Chinese,East Asian Langs & Civ,"Wang,Dan",6,0,0,0,0,0,0,2020,Spring,6
507,CHNSE 166R,Chinese in the Humanities,East Asian Langs & Civ,"Liu,Jennifer Li-Chia",10,0,0,0,0,0,0,2020,Spring,10
508,CHNSE 300,Reading and Research,East Asian Langs & Civ,"Bol,Peter K.",0,1,0,0,0,0,0,2020,Spring,1
509,CHNSE 300,Reading and Research,East Asian Langs & Civ,"Elliott,Mark C.",0,1,0,0,0,0,0,2020,Spring,1
510,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",14,1,0,1,0,0,0,2020,Spring,16
511,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",18,1,0,1,0,0,0,2020,Spring,20
512,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",11,0,0,0,0,0,0,2020,Spring,11
513,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",7,0,0,0,0,0,0,2020,Spring,7
514,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",10,1,0,1,0,0,0,2020,Spring,12
515,CHNSE BB,Elementary Modern Chinese,East Asian Langs & Civ,"Yu,Xiaoshi",10,0,0,0,0,0,0,2020,Spring,10
522,CLAS-HEB 120B,Intermed Classical Hebrew II,Near Eastern Languages & Civ,"Teeter,Andrew",0,1,0,0,0,0,0,2020,Spring,1
523,CLAS-HEB AB,Elementary Classical Hebrew II,Near Eastern Languages & Civ,"Teeter,Andrew",6,1,0,0,0,0,0,2020,Spring,7
674,CZCH AB,Elementary Czech II,Slavic Languages & Literatures,"Tuckerova,Veronika",2,1,0,0,0,1,0,2020,Spring,4
675,CZCH BB,Intermediate Czech II,Slavic Languages & Literatures,"Tuckerova,Veronika",1,2,0,0,0,0,0,2020,Spring,3
676,CZCH CR,Advanced Czech,Slavic Languages & Literatures,"Tuckerova,Veronika",1,0,0,0,0,0,0,2020,Spring,1
864,EGYPTIAN 200,Egyptian Text Reading,Near Eastern Languages & Civ,"Manuelian,Peter Der",0,2,0,0,0,0,0,2020,Spring,2
865,EGYPTIAN AB,The Language of the Pharaohs,Near Eastern Languages & Civ,"Manuelian,Peter Der",6,1,0,0,0,0,0,2020,Spring,7
1127,FRENCH 10,Beginning French I,Romance Languages & Lit,"Mills,Nicole",8,2,0,4,0,0,0,2020,Spring,14
1128,FRENCH 11,Beginning French II,Romance Languages & Lit,"Mills,Nicole",10,1,0,2,0,0,0,2020,Spring,13
1129,FRENCH 11,Beginning French II,Romance Languages & Lit,"Mills,Nicole",13,0,0,0,0,0,0,2020,Spring,13
1130,FRENCH 11,Beginning French II,Romance Languages & Lit,"Mills,Nicole",14,1,0,2,0,0,0,2020,Spring,17
1131,FRENCH 135,Under the Table/Sous la Table,Romance Languages & Lit,"Beizer,Janet L.",3,0,0,1,0,0,0,2020,Spring,4
1132,FRENCH 136,French Feminisms Today,Romance Languages & Lit,"Jardine,Alice",7,3,0,1,0,0,0,2020,Spring,11
1133,FRENCH 144,Humanimals in Medieval French,Romance Languages & Lit,"Greene,Virginie",0,2,0,0,0,0,0,2020,Spring,2
1134,FRENCH 15,Intensive Beginning French,Romance Languages & Lit,"Mills,Nicole",5,2,0,1,0,0,0,2020,Spring,8
1135,FRENCH 153,The Novel after the New Novel,Romance Languages & Lit,"Kim,Annabel",5,2,0,0,0,0,0,2020,Spring,7
1136,FRENCH 174,Mediterranean Crossings,Romance Languages & Lit,"Conley,Verena",3,2,0,0,1,0,0,2020,Spring,6
1137,FRENCH 192,Spectacular France,Romance Languages & Lit,"Guyot,Sylvaine",3,1,0,0,0,0,0,2020,Spring,4
1138,FRENCH 20,Intermediate French,Romance Languages & Lit,"Turman,Karen",2,2,0,1,0,0,0,2020,Spring,5
1139,FRENCH 20,Intermediate French,Romance Languages & Lit,"Turman,Karen",8,0,0,2,0,0,0,2020,Spring,10
1140,FRENCH 250,Urban Cannibals: Les Mystères,Romance Languages & Lit,"Beizer,Janet L.",1,0,0,0,0,0,0,2020,Spring,1
1141,FRENCH 262,"Race, Gender, Sexuality",Romance Languages & Lit,"Lionnet,Francoise",0,4,0,1,0,0,0,2020,Spring,5
1142,FRENCH 30,Upper-level French,Romance Languages & Lit,"Knudson,Ericka Karina",9,1,0,1,0,0,0,2020,Spring,11
1143,FRENCH 30,Upper-level French,Romance Languages & Lit,"Knudson,Ericka Karina",12,1,0,1,0,0,0,2020,Spring,14
1144,FRENCH 30,Upper-level French,Romance Languages & Lit,"Knudson,Ericka Karina",12,0,0,1,0,0,0,2020,Spring,13
1145,FRENCH 320,French Literature,Romance Languages & Lit,"Conley,Verena",0,1,0,0,0,0,0,2020,Spring,1
1146,FRENCH 330,Doctoral Dissertations,Romance Languages & Lit,"Beizer,Janet L.",0,1,0,0,0,0,0,2020,Spring,1
1147,FRENCH 330,Doctoral Dissertations,Romance Languages & Lit,"Guyot,Sylvaine",0,1,0,0,0,0,0,2020,Spring,1
1148,FRENCH 40,Advanced French I,Romance Languages & Lit,"Knudson,Ericka Karina",11,1,0,3,0,0,0,2020,Spring,15
1149,FRENCH 40,Advanced French I,Romance Languages & Lit,"Knudson,Ericka Karina",7,0,0,0,0,0,0,2020,Spring,7
1150,FRENCH 50,Advanced French II,Romance Languages & Lit,"Turman,Karen",7,0,0,1,0,0,0,2020,Spring,8
1151,FRENCH 61M,Modern Stories about Paris,Romance Languages & Lit,"Knudson,Ericka Karina",7,0,1,2,0,0,0,2020,Spring,10
1152,FRENCH 61M,Modern Stories about Paris,Romance Languages & Lit,"Knudson,Ericka Karina",15,0,0,1,0,0,0,2020,Spring,16
1153,FRENCH 61N,French Lang Through Industry,Romance Languages & Lit,"Turman,Karen",2,1,0,0,0,0,0,2020,Spring,3
1154,FRENCH 70C,Intro to French Lit III,Romance Languages & Lit,"Lionnet,Francoise",10,0,0,0,0,0,0,2020,Spring,10
1155,FRENCH 85,Apocalyptic French Fiction,Romance Languages & Lit,"Kim,Annabel",6,0,0,1,0,0,0,2020,Spring,7
1156,FRENCH 99B,Tutorial - Senior Year,Romance Languages & Lit,"Richman,Kathy A.",1,0,0,0,0,0,0,2020,Spring,1
1279,GERMAN 102,"German Literature, Art",Germanic Languages & Lit,"Schwakopf,Nadine",6,0,0,0,0,0,1,2020,Spring,5
1280,GERMAN 10AB,Beginning German (Intensive),Germanic Languages & Lit,"Parkes,Lisa Caroline",7,0,0,2,0,0,0,2020,Spring,9
1281,GERMAN 10B,Beginning German,Germanic Languages & Lit,"Parkes,Lisa Caroline",9,0,1,0,0,0,0,2020,Spring,10
1282,GERMAN 10B,Beginning German,Germanic Languages & Lit,"Parkes,Lisa Caroline",8,1,0,0,0,0,0,2020,Spring,9
1283,GERMAN 10B,Beginning German,Germanic Languages & Lit,"Parkes,Lisa Caroline",4,0,0,0,0,0,0,2020,Spring,4
1284,GERMAN 111,Translating German,Germanic Languages & Lit,"Parkes,Lisa Caroline",4,2,0,1,0,0,0,2020,Spring,7
1285,GERMAN 153,Postwall German Cinema,Germanic Languages & Lit,"Rentschler,Eric",1,0,0,0,0,0,0,2020,Spring,1
1286,GERMAN 171,Katastrophe Erzählen,Germanic Languages & Lit,"Zumbusch,Cornelia",0,2,0,0,0,0,0,2020,Spring,2
1287,GERMAN 185,Heinrich von Kleist,Germanic Languages & Lit,Unknown,0,0,0,0,0,0,0,2020,Spring,0
1288,GERMAN 20AB,Intermediate German: Intensive,Germanic Languages & Lit,"Parkes,Lisa Caroline",4,0,0,3,0,0,0,2020,Spring,7
1289,GERMAN 20B,Intermediate German,Germanic Languages & Lit,"Parkes,Lisa Caroline",11,0,0,1,0,0,0,2020,Spring,12
1290,GERMAN 210,Baroque,Germanic Languages & Lit,"Burgard,Peter J.",0,3,0,0,0,0,0,2020,Spring,3
1291,GERMAN 230,Fontanes Romane,Germanic Languages & Lit,"Zumbusch,Cornelia",0,1,0,0,0,0,0,2020,Spring,1
1292,GERMAN 287,Kafka in Paris,Germanic Languages & Lit,"Hamilton,John T.",4,2,0,0,0,0,0,2020,Spring,6
1293,GERMAN 300,Dissertation,Germanic Languages & Lit,"Burgard,Peter J.",0,1,0,0,0,0,0,2020,Spring,1
1294,GERMAN 300,Dissertation,Germanic Languages & Lit,"Hamilton,John T.",0,8,0,0,0,0,0,2020,Spring,8
1295,GERMAN 300,Dissertation,Germanic Languages & Lit,"Kirakosian,Racha",0,1,0,0,0,0,0,2020,Spring,1
1296,GERMAN 300,Dissertation,Germanic Languages & Lit,"Rentschler,Eric",0,2,0,0,0,0,0,2020,Spring,2
1297,GERMAN 300,Dissertation,Germanic Languages & Lit,"Suetterlin,Nicole",0,1,0,0,0,0,0,2020,Spring,1
1298,GERMAN 310,Teaching,Germanic Languages & Lit,"Burgard,Peter J.",0,12,0,0,0,0,0,2020,Spring,12
1299,GERMAN 320,Course-Related Work,Germanic Languages & Lit,"Burgard,Peter J.",0,4,0,0,0,0,0,2020,Spring,4
1300,GERMAN 330,Research-Related Work,Germanic Languages & Lit,"Burgard,Peter J.",0,1,0,0,0,0,0,2020,Spring,1
1301,GERMAN 340,Independent Study,Germanic Languages & Lit,"Hamilton,John T.",0,1,0,0,0,0,0,2020,Spring,1
1302,GERMAN 63,Germany and Europe,Germanic Languages & Lit,"Schwakopf,Nadine",9,3,0,1,0,0,0,2020,Spring,13
1303,GERMAN 90R,Dutch,Germanic Languages & Lit,"Parkes,Lisa Caroline",1,2,0,1,0,0,0,2020,Spring,4
1304,GERMAN 99B,Tutorial - Senior Year,Germanic Languages & Lit,"Parkes,Lisa Caroline",2,0,0,0,0,0,0,2020,Spring,2
1305,GERMAN AX,German for Reading Knowledge,Germanic Languages & Lit,"Parkes,Lisa Caroline",5,5,0,2,0,0,0,2020,Spring,12
1311,GIKUYU AA,Elementary Gikuyu,African & African Amer Studies,"Mugane,John M",3,0,0,0,0,0,0,2020,Spring,3
1312,GIKUYU AB,Elementary Gikuyu,African & African Amer Studies,"Mugane,John M",1,1,0,0,0,0,0,2020,Spring,2
1386,GREEK 10,Intro. to Ancient Greek Lit.,"Classics, The","Livingston,Ivy",5,1,0,0,0,0,0,2020,Spring,6
1387,GREEK 110,Plato,"Classics, The","Rosen,Jacob J.",5,4,0,1,0,0,0,2020,Spring,10
1388,GREEK 111,Euripides,"Classics, The","Konieczny,Michael Leonard",1,0,0,0,0,0,0,2020,Spring,1
1389,GREEK 1X,Accel. Intro. Ancient Greek 1,"Classics, The","Livingston,Ivy",2,2,1,0,0,0,0,2020,Spring,5
1390,GREEK 2,Introductory Ancient Greek 2,"Classics, The","Livingston,Ivy",3,2,1,0,0,0,0,2020,Spring,6
1391,GREEK 201,Reading Greek,"Classics, The","Nagy,Gregory",0,5,0,0,0,0,0,2020,Spring,5
1392,GREEK AX,Ancient Greek Review & Reading,"Classics, The","Livingston,Ivy",4,0,0,0,0,0,0,2020,Spring,4
1393,GREEK H,Intro Greek Prose Composition,"Classics, The","Livingston,Ivy",0,2,0,0,0,0,0,2020,Spring,2
1394,GULLAH AB,Elementary Gullah,African & African Amer Studies,"Mugane,John M",4,0,0,0,0,0,0,2020,Spring,4
1395,GULLAH BB,Intermediate Gullah,African & African Amer Studies,"Mugane,John M",2,0,0,0,0,0,0,2020,Spring,2
1449,HAUSA AB,Elementary Hausa,African & African Amer Studies,"Mugane,John M",1,1,0,0,0,0,0,2020,Spring,2
1511,HEBREW 131,Four Jewish Classics,Near Eastern Languages & Civ,"Stern,David",2,0,0,0,0,0,0,2020,Spring,2
1512,HIND-URD 101B,Introductory Hindi-Urdu,South Asian Studies,"Delacy,Richard Somers",8,0,0,3,0,0,0,2020,Spring,11
1513,HIND-URD 101B,Introductory Hindi-Urdu,South Asian Studies,"Kovacs,Hajnalka",4,0,0,4,0,0,0,2020,Spring,8
1514,HIND-URD 102B,Intermediate Hindi-Urdu,South Asian Studies,"Delacy,Richard Somers",6,2,0,1,0,0,0,2020,Spring,9
1515,HIND-URD 103BR,Advanced Hindi-Urdu,South Asian Studies,"Kovacs,Hajnalka",1,0,0,0,0,0,0,2020,Spring,1
1516,HIND-URD 105R,Topics in Hindi-Urdu Literatur,South Asian Studies,"Kovacs,Hajnalka",0,1,1,2,0,0,0,2020,Spring,4
1517,HIND-URD 107,Readings in Urdu Discursive Pr,South Asian Studies,"Kovacs,Hajnalka",2,3,0,0,0,0,0,2020,Spring,5
1518,HIND-URD 91R,Hindi-Urdu Supervised Readings,South Asian Studies,"Delacy,Richard Somers",2,0,0,0,0,0,0,2020,Spring,2
1723,IGBO 101BR,Advanced Igbo II,African & African Amer Studies,"Mugane,John M",4,0,0,0,0,0,0,2020,Spring,4
1724,IGBO AB,Elementary Igbo,African & African Amer Studies,"Mugane,John M",9,0,0,2,0,0,0,2020,Spring,11
1725,IGBO BB,Intermediate Igbo,African & African Amer Studies,"Mugane,John M",7,0,0,0,0,0,0,2020,Spring,7
1764,IRISH 201R,Continuing Old Irish,Celtic Languages & Literatures,"Nagy,Joseph F",2,2,0,0,0,1,0,2020,Spring,5
1765,IRISH 206R,Studies in Early Irish Texts,Celtic Languages & Literatures,"Nagy,Joseph F",0,1,0,0,0,0,0,2020,Spring,1
1770,ITAL 10,Beginning Italian I,Romance Languages & Lit,"DiFabio,Elvira G.",5,2,0,1,0,0,0,2020,Spring,8
1771,ITAL 11,Beginning Italian II,Romance Languages & Lit,"DiFabio,Elvira G.",5,0,0,0,0,0,0,2020,Spring,5
1772,ITAL 11,Beginning Italian II,Romance Languages & Lit,"DiFabio,Elvira G.",14,0,0,0,0,0,0,2020,Spring,14
1773,ITAL 139,Poetry and Visuality in 20th c,Romance Languages & Lit,"Colucci,Dalila",4,1,0,0,0,0,0,2020,Spring,5
1774,ITAL 15,Intensive Beginning Italian,Romance Languages & Lit,"DiFabio,Elvira G.",3,2,0,2,0,0,0,2020,Spring,7
1775,ITAL 20,Intermediate Italian,Romance Languages & Lit,"DiFabio,Elvira G.",1,0,0,1,0,0,0,2020,Spring,2
1776,ITAL 201R,Italian Studies Colloquium,Romance Languages & Lit,"Erspamer,Francesco",0,2,0,0,0,0,0,2020,Spring,2
1777,ITAL 30,Upper-Level Italian,Romance Languages & Lit,"DiFabio,Elvira G.",7,1,0,0,0,0,0,2020,Spring,8
1778,ITAL 320,Italian Literature,Romance Languages & Lit,"Camozzi Pistoja,Ambrogio",0,2,0,0,0,0,0,2020,Spring,2
1779,ITAL 50,Advanced Italian II,Romance Languages & Lit,"DiFabio,Elvira G.",6,0,0,0,0,0,0,2020,Spring,6
1780,JAMAICAN 101BR,Advanced Jamaican Patois II,African & African Amer Studies,"Mugane,John M",0,0,0,0,0,0,0,2020,Spring,0
1781,JAPAN 106C,Later Classical Japanese,East Asian Langs & Civ,"Cranston,Edwin A.",2,0,0,0,0,0,0,2020,Spring,2
1782,JAPAN 120B,Intermediate Japanese I,East Asian Langs & Civ,"Asakura,Naomi",6,7,0,1,0,0,0,2020,Spring,14
1783,JAPAN 120B,Intermediate Japanese I,East Asian Langs & Civ,"Asakura,Naomi",1,2,0,0,0,1,0,2020,Spring,4
1784,JAPAN 120B,Intermediate Japanese I,East Asian Langs & Civ,"Asakura,Naomi",3,4,0,0,0,0,0,2020,Spring,7
1785,JAPAN 130B,Intermediate Japanese II,East Asian Langs & Civ,"Graham,Tomoko Amano",2,4,0,1,0,0,0,2020,Spring,7
1786,JAPAN 130B,Intermediate Japanese II,East Asian Langs & Civ,"Graham,Tomoko Amano",5,1,0,0,0,0,0,2020,Spring,6
1787,JAPAN 140B,Advanced Modern Japanese,East Asian Langs & Civ,"Shingu,Ikue",1,3,0,1,0,1,0,2020,Spring,6
1788,JAPAN 140B,Advanced Modern Japanese,East Asian Langs & Civ,"Shingu,Ikue",2,2,0,0,0,0,0,2020,Spring,4
1789,JAPAN 150B,Reads & Discus Jpn Soc Sci,East Asian Langs & Civ,"Shingu,Ikue",2,4,1,0,0,0,0,2020,Spring,7
1790,JAPAN 300,Reading and Research,East Asian Langs & Civ,"Yoda,Tomiko",0,1,0,0,0,0,0,2020,Spring,1
1791,JAPAN 300,Reading and Research,East Asian Langs & Civ,"Howell,David L",0,3,0,0,0,0,0,2020,Spring,3
1792,JAPAN BB,Elementary Japanese,East Asian Langs & Civ,"Kageyama-Hunt,Yuko",9,12,0,2,0,0,0,2020,Spring,23
1793,JAPAN BB,Elementary Japanese,East Asian Langs & Civ,"Kageyama-Hunt,Yuko",7,5,0,2,0,0,0,2020,Spring,14
1794,JAPAN BB,Elementary Japanese,East Asian Langs & Civ,"Kageyama-Hunt,Yuko",4,2,0,4,0,0,1,2020,Spring,9
1799,KAMBA AB,Elementary Kamba,African & African Amer Studies,"Mugane,John M",0,1,0,0,0,0,0,2020,Spring,1
1800,KOREAN 120B,Intermediate Korean,East Asian Langs & Civ,"Lee,Joungmok",9,0,0,1,0,0,0,2020,Spring,10
1801,KOREAN 123XB,Int. Korean for Adv. Beg.,East Asian Langs & Civ,"Kim,Hi-Sun Helen",13,0,0,0,0,0,0,2020,Spring,13
1802,KOREAN 130B,Pre-advanced Korean,East Asian Langs & Civ,"Jung,Heeyeong",9,3,0,1,0,0,0,2020,Spring,13
1803,KOREAN 140B,Advanced Korean,East Asian Langs & Civ,"Lee,Joungmok",4,2,0,0,0,0,0,2020,Spring,6
1804,KOREAN 150B,Readings in Cultural Studies,East Asian Langs & Civ,"Lee,Joungmok",1,0,0,0,0,0,0,2020,Spring,1
1805,KOREAN 300,Reading and Research,East Asian Langs & Civ,"Eckert,Carter J.",0,2,0,0,0,0,0,2020,Spring,2
1806,KOREAN 300,Reading and Research,East Asian Langs & Civ,"Park,Si Nae",0,1,0,0,0,0,0,2020,Spring,1
1807,KOREAN BA,Elementary Korean,East Asian Langs & Civ,"Jung,Heeyeong",10,2,0,0,0,0,2,2020,Spring,10
1808,KOREAN BB,Elementary Korean,East Asian Langs & Civ,"Kim,Hi-Sun Helen",9,4,0,1,0,0,0,2020,Spring,14
1809,KOREAN BB,Elementary Korean,East Asian Langs & Civ,"Kim,Hi-Sun Helen",20,2,0,1,0,0,0,2020,Spring,23
1815,LATIN 10,Intro. to Latin Literature,"Classics, The","Livingston,Ivy",8,0,0,0,0,0,0,2020,Spring,8
1816,LATIN 106C,Aeneid 712,"Classics, The","Thomas,Richard F.",11,0,0,0,0,0,0,2020,Spring,11
1817,LATIN 112B,History of Latin Literature II,"Classics, The","Love,Rachel",6,0,0,0,0,0,0,2020,Spring,6
1818,LATIN 115,Tacitus' Annals,"Classics, The","Morgan,Harry Benjamin",5,0,0,0,0,0,0,2020,Spring,5
1819,LATIN 1X,Accelerated Intro. Latin 1,"Classics, The","Livingston,Ivy",3,4,0,1,0,0,0,2020,Spring,8
1820,LATIN 2,Introductory Latin 2,"Classics, The","Livingston,Ivy",13,1,0,0,0,0,0,2020,Spring,14
1821,LATIN K,Adv. Latin Prose Composition,"Classics, The","Konieczny,Michael Leonard",2,5,0,1,0,0,0,2020,Spring,8
1855,MANCHU B,Elementary Manchu,East Asian Langs & Civ,"Elliott,Mark C.",0,3,0,0,0,0,0,2020,Spring,3
1966,MEDLATIN 10,Intro. to Medieval Latin Lit.,"Classics, The","Trettel,Adam Michael",4,4,0,0,0,0,0,2020,Spring,8
1967,MEDLATIN 259,Venantius Fortunatus,"Classics, The","Trettel,Adam Michael",0,1,0,0,0,0,0,2020,Spring,1
1997,MOD-HEB 120B,Intermediate Modern Hebrew II,Near Eastern Languages & Civ,"Aharony,Irit",0,1,0,0,0,0,0,2020,Spring,1
1998,MOD-HEB 130B,Advanced Modern Hebrew II,Near Eastern Languages & Civ,"Aharony,Irit",10,1,0,1,0,0,0,2020,Spring,12
1999,MOD-HEB BB,Elementary Modern Hebrew II,Near Eastern Languages & Civ,"Aharony,Irit",5,1,0,3,0,0,0,2020,Spring,9
2000,MODGRK 100,Advanced Modern Greek,"Classics, The","Dourou,Calliopi Ioannis",7,1,0,0,0,0,0,2020,Spring,8
2001,MODGRK 167,Hist Grk Lit: 11th to 17th,"Classics, The","Roilos,Panagiotis",0,2,0,0,0,0,0,2020,Spring,2
2002,MODGRK 90,Modern Greek Language Tutorial,"Classics, The","Dourou,Calliopi Ioannis",1,2,0,0,0,0,0,2020,Spring,3
